country,count
United States,88
Germany,73
Italy,58
Canada,50
India,36
Australia,35
United States,,32
Netherlands,31
Switzerland,31
France,29
Denmark,28
Sweden,26
Jordan,26
China,23
Norway,21
United Kingdom,20
New Zealand,19
Spain,19
Brazil,18
Israel,18
Nigeria,11
Malaysia,9
Belgium,9
Finland,9
Singapore,9
Ghana,8
Turkey,8
United States;,7
Nepal,7
Argentina,7
Japan,7
New Zealand,,7
Georgia,7
Thailand,7
United States.,6
Monaco,6
United Kingdom.,6
Mexico,6
Austria,5
Hong Kong,5
Portugal,4
Oman,4
Greece,4
Iraq,4
Chile,4
Poland,4
Sudan,3
Jersey,3
Czech Republic;,3
Ethiopia,3
Egypt,3
Bolivia,3
United Kingdom,,3
Ireland,3
Uruguay,3
United Kingdom;,3
Iceland,2
Slovenia,2
Colombia,2
Afghanistan,2
Costa Rica,2
Pakistan,2
Russian Federation;,2
South Africa,,2
Niger,2
Botswana,2
San Marino,2
Cambodia,1
Latvia,1
Morocco,1
Montserrat,1
Panama,1
Luxembourg,1
Puerto Rico,,1
Hungary,1
Russian Federation,,1
Senegal,1
Hong Kong.,1
Czech Republic,,1
South Africa,1
Bermuda,1
Russian Federation,1
Viet Nam,1
Chad,1
Madagascar,1
Costa Rica,,1
Cape Verde,1
Serbia,1
Tunisia,1
Romania,1
Sri Lanka,1
Azerbaijan,1
Cuba,1
Moldova, Republic of,,1
Estonia,1
